ID,raw_event_ID,game_ID,half,start_time,end_time,player_ID,team_ID,action,successful,pos_x,pos_y
KEY-20190413CHINC-89,RAW-20190413CHINC-523,20190413CHINC,1,11:20,11:40,254,NC,take_on,0,33.6,58.5
KEY-20190413CHINC-90,RAW-20190413CHINC-524,20190413CHINC,1,11:20,11:40,142,CHI,tackle,1,71.4,9.5
KEY-20190413CHINC-91,RAW-20190413CHINC-525,20190413CHINC,1,11:20,11:40,142,CHI,challenge,1,71.4,9.5
KEY-20190413CHINC-92,RAW-20190413CHINC-531,20190413CHINC,1,11:35,11:55,146,NC,challenge,0,66.4,50.3
KEY-20190413CHINC-93,RAW-20190413CHINC-532,20190413CHINC,1,11:35,11:55,163,CHI,challenge,1,38.6,17.7
KEY-20190413CHINC-94,RAW-20190413CHINC-537,20190413CHINC,1,11:37,11:57,117,CHI,challenge,0,68.4,13.8
KEY-20190413CHINC-95,RAW-20190413CHINC-538,20190413CHINC,1,11:37,11:57,92,NC,challenge,1,36.6,54.2
KEY-20190413CHINC-96,RAW-20190413CHINC-548,20190413CHINC,1,11:48,12:08,140,NC,take_on,0,40.7,21.8
KEY-20190413CHINC-97,RAW-20190413CHINC-550,20190413CHINC,1,11:48,12:08,247,CHI,challenge,1,64.3,46.2
KEY-20190413CHINC-98,RAW-20190413CHINC-551,20190413CHINC,1,11:48,12:08,140,NC,challenge,0,40.7,21.8
KEY-20190413CHINC-99,RAW-20190413CHINC-552,20190413CHINC,1,11:48,12:08,247,CHI,tackle,1,64.3,46.2
KEY-20190413CHINC-100,RAW-20190413CHINC-557,20190413CHINC,1,11:52,12:12,64,NC,challenge,1,29.0,32.8
KEY-20190413CHINC-101,RAW-20190413CHINC-559,20190413CHINC,1,11:52,12:12,117,CHI,challenge,0,76.0,35.2
KEY-20190413CHINC-102,RAW-20190413CHINC-560,20190413CHINC,1,11:52,12:12,64,NC,tackle,1,29.0,32.8
KEY-20190413CHINC-103,RAW-20190413CHINC-562,20190413CHINC,1,11:52,12:12,152,NC,recovery,\N,35.4,32.2
KEY-20190413CHINC-104,RAW-20190413CHINC-576,20190413CHINC,1,12:05,12:25,222,CHI,challenge,0,49.2,24.6
KEY-20190413CHINC-105,RAW-20190413CHINC-577,20190413CHINC,1,12:05,12:25,222,CHI,tackle,0,49.2,24.6
KEY-20190413CHINC-106,RAW-20190413CHINC-578,20190413CHINC,1,12:05,12:25,254,NC,take_on,1,55.8,43.4
KEY-20190413CHINC-107,RAW-20190413CHINC-581,20190413CHINC,1,12:06,12:26,161,CHI,recovery,\N,56.0,28.6
KEY-20190413CHINC-108,RAW-20190413CHINC-583,20190413CHINC,1,12:08,12:28,254,NC,foul,\N,49.3,38.6
KEY-20190413CHINC-109,RAW-20190413CHINC-595,20190413CHINC,1,12:43,13:03,65,CHI,challenge,1,90.0,39.4
KEY-20190413CHINC-110,RAW-20190413CHINC-598,20190413CHINC,1,12:43,13:03,42,NC,challenge,0,15.0,28.6
KEY-20190413CHINC-111,RAW-20190413CHINC-603,20190413CHINC,1,12:44,13:04,64,NC,recovery,\N,10.8,30.0
KEY-20190413CHINC-112,RAW-20190413CHINC-605,20190413CHINC,1,12:47,13:07,247,CHI,recovery,\N,70.7,52.8
KEY-20190413CHINC-113,RAW-20190413CHINC-610,20190413CHINC,1,12:53,13:13,244,NC,challenge,1,40.6,10.9
KEY-20190413CHINC-114,RAW-20190413CHINC-611,20190413CHINC,1,12:53,13:13,163,CHI,challenge,0,64.4,57.1
KEY-20190413CHINC-115,RAW-20190413CHINC-612,20190413CHINC,1,12:53,13:13,244,NC,tackle,1,40.6,10.9
KEY-20190413CHINC-116,RAW-20190413CHINC-634,20190413CHINC,1,13:23,13:43,140,NC,recovery,\N,24.3,6.4
KEY-20190413CHINC-117,RAW-20190413CHINC-659,20190413CHINC,1,13:53,14:13,146,NC,dribble,1,80.8,6.2
KEY-20190413CHINC-118,RAW-20190413CHINC-664,20190413CHINC,1,14:00,14:20,34,CHI,recovery,\N,19.2,19.1
KEY-20190413CHINC-119,RAW-20190413CHINC-666,20190413CHINC,1,14:01,14:21,34,CHI,dribble,1,23.2,17.0
KEY-20190413CHINC-120,RAW-20190413CHINC-693,20190413CHINC,1,14:30,14:50,140,NC,dribble,1,92.3,4.8
KEY-20190413CHINC-121,RAW-20190413CHINC-712,20190413CHINC,1,15:04,15:24,244,NC,recovery,\N,100.0,29.6
KEY-20190413CHINC-122,RAW-20190413CHINC-721,20190413CHINC,1,15:06,15:26,169,NC,recovery,\N,87.2,34.8
KEY-20190413CHINC-123,RAW-20190413CHINC-728,20190413CHINC,1,15:08,15:28,140,NC,recovery,\N,78.9,24.6
KEY-20190413CHINC-124,RAW-20190413CHINC-733,20190413CHINC,1,15:11,15:31,45,CHI,challenge,0,12.9,36.5
KEY-20190413CHINC-125,RAW-20190413CHINC-734,20190413CHINC,1,15:11,15:31,254,NC,challenge,1,92.1,31.5
KEY-20190413CHINC-126,RAW-20190413CHINC-746,20190413CHINC,1,15:51,16:11,163,CHI,challenge,1,12.2,10.0
KEY-20190413CHINC-127,RAW-20190413CHINC-747,20190413CHINC,1,15:51,16:11,146,NC,challenge,0,92.8,58.0
KEY-20190413CHINC-128,RAW-20190413CHINC-753,20190413CHINC,1,16:16,16:36,65,CHI,challenge,1,9.1,24.3
