ID,game_ID,passer,team,receiver,start_x,start_y,end_x,end_y,successful
PASS-20190413CHINC-176,20190413CHINC,"Denise O'Sullivan","North Carolina Courage","Jaelene Hinkle",74.9,48.5,70.3,59.7,1
PASS-20190413CHINC-177,20190413CHINC,"Jaelene Hinkle","North Carolina Courage","Abby Dahlkemper",62.5,62,32.4,46.4,1
PASS-20190413CHINC-178,20190413CHINC,"Abby Dahlkemper","North Carolina Courage","Abby Erceg",32.4,46.4,45.2,24.7,1
PASS-20190413CHINC-179,20190413CHINC,"Abby Erceg","North Carolina Courage","Denise O'Sullivan",49.6,19.8,65.8,18.5,1
PASS-20190413CHINC-18,20190413CHINC,"Abby Dahlkemper","North Carolina Courage","Tierna Davidson",39.8,14.4,67.1,9.7,0
PASS-20190413CHINC-180,20190413CHINC,"Denise O'Sullivan","North Carolina Courage","Merritt Mathias",65.8,18.5,58.9,4.8,1
PASS-20190413CHINC-181,20190413CHINC,"Merritt Mathias","North Carolina Courage","Arin Wright",67.6,5.6,74.9,7.7,0
PASS-20190413CHINC-182,20190413CHINC,"Alyssa Naeher","Chicago Red Stars","Arin Wright",35.8,53.2,59.3,63.6,1
PASS-20190413CHINC-183,20190413CHINC,"Arin Wright","Chicago Red Stars","Jaelene Hinkle",62.5,62.2,93.1,18.7,0
PASS-20190413CHINC-184,20190413CHINC,"Jaelene Hinkle","North Carolina Courage","McCall Zerboni",34.1,52.4,47.6,61.3,1
PASS-20190413CHINC-185,20190413CHINC,"McCall Zerboni","North Carolina Courage","Crystal Dunn",47.6,61.3,69,59.9,1
PASS-20190413CHINC-186,20190413CHINC,"Crystal Dunn","North Carolina Courage","Lynn Williams",76.7,55.5,95.3,57.2,1
PASS-20190413CHINC-187,20190413CHINC,"Lynn Williams","North Carolina Courage","McCall Zerboni",96.6,59.9,76,50.7,1
PASS-20190413CHINC-188,20190413CHINC,"McCall Zerboni","North Carolina Courage","Jaelene Hinkle",76,50.7,68.2,57.5,1
PASS-20190413CHINC-189,20190413CHINC,"Jaelene Hinkle","North Carolina Courage","Sam Mewis",68.2,57.5,66.3,45.4,1
PASS-20190413CHINC-19,20190413CHINC,"Tierna Davidson","Chicago Red Stars",NULL,37.9,58.3,48.2,68,0
PASS-20190413CHINC-190,20190413CHINC,"Sam Mewis","North Carolina Courage","Merritt Mathias",66.7,44.4,67.5,11.8,1
PASS-20190413CHINC-191,20190413CHINC,"Merritt Mathias","North Carolina Courage","Nikki Stanton",67.9,7.7,78.5,23.5,0
PASS-20190413CHINC-192,20190413CHINC,"Denise O'Sullivan","North Carolina Courage","Sarah Gorden",92.5,18.3,99.5,51.1,0
PASS-20190413CHINC-193,20190413CHINC,"Crystal Dunn","North Carolina Courage","Jessica McDonald",98,68,98,58.9,1
PASS-20190413CHINC-194,20190413CHINC,"Jessica McDonald","North Carolina Courage","Crystal Dunn",98,58.9,97.7,64.3,1
PASS-20190413CHINC-195,20190413CHINC,"Crystal Dunn","North Carolina Courage","Katie Naughton",101.3,61.5,101.3,38.5,0
PASS-20190413CHINC-196,20190413CHINC,"Alyssa Naeher","Chicago Red Stars","Alyssa Mautz",5.6,17.1,49.5,15.3,1
PASS-20190413CHINC-197,20190413CHINC,"Sam Mewis","North Carolina Courage","Denise O'Sullivan",55.5,52.7,69.3,42.4,1
PASS-20190413CHINC-198,20190413CHINC,"Denise O'Sullivan","North Carolina Courage","Sarah Gorden",69.3,42.4,76.9,47.6,0
PASS-20190413CHINC-199,20190413CHINC,"Sarah Gorden","Chicago Red Stars","Sam Mewis",28.5,21.9,35.8,18.8,0
PASS-20190413CHINC-2,20190413CHINC,"Katie Naughton","Chicago Red Stars","Danielle Colaprico",30.6,26.4,46.3,20.5,1
PASS-20190413CHINC-20,20190413CHINC,"Merritt Mathias","North Carolina Courage","Crystal Dunn",56.8,0,62.1,5,1
PASS-20190413CHINC-200,20190413CHINC,"Sam Mewis","North Carolina Courage","Crystal Dunn",92.7,60.3,79.9,57.2,1
PASS-20190413CHINC-201,20190413CHINC,"Crystal Dunn","North Carolina Courage","Jessica McDonald",101.2,56.3,101.8,38.5,1
PASS-20190413CHINC-202,20190413CHINC,"Katie Naughton","Chicago Red Stars","McCall Zerboni",3.7,22.2,33.1,22.6,0
PASS-20190413CHINC-203,20190413CHINC,"McCall Zerboni","North Carolina Courage","Jaelene Hinkle",71.9,45.4,71.1,52.5,1
PASS-20190413CHINC-204,20190413CHINC,"Yuki Nagasato","Chicago Red Stars","Sarah Gorden",31.2,5.8,27,18.5,1
PASS-20190413CHINC-205,20190413CHINC,"Sarah Gorden","Chicago Red Stars","Lynn Williams",27,18.5,31.2,37.7,0
PASS-20190413CHINC-206,20190413CHINC,"Lynn Williams","North Carolina Courage","Sam Mewis",73.8,30.3,63.1,35.4,1
PASS-20190413CHINC-207,20190413CHINC,"Sam Mewis","North Carolina Courage","Merritt Mathias",59.6,36,52.9,18.5,1
PASS-20190413CHINC-208,20190413CHINC,"Merritt Mathias","North Carolina Courage","Denise O'Sullivan",63.3,12.4,70.5,15.7,1
PASS-20190413CHINC-209,20190413CHINC,"Denise O'Sullivan","North Carolina Courage","Merritt Mathias",66.7,14,58,6.6,1
PASS-20190413CHINC-21,20190413CHINC,"Crystal Dunn","North Carolina Courage","Merritt Mathias",60.6,7.6,57.4,3.3,1
PASS-20190413CHINC-210,20190413CHINC,"Merritt Mathias","North Carolina Courage","Jessica McDonald",57.9,0,72.7,5.1,1
PASS-20190413CHINC-211,20190413CHINC,"Jessica McDonald","North Carolina Courage","Merritt Mathias",72.7,5.1,63.3,3.4,1
PASS-20190413CHINC-212,20190413CHINC,"Merritt Mathias","North Carolina Courage","Denise O'Sullivan",63.3,3.4,78,10.1,1
PASS-20190413CHINC-213,20190413CHINC,"Denise O'Sullivan","North Carolina Courage","Tierna Davidson",77.3,9,82.4,9.8,0
PASS-20190413CHINC-214,20190413CHINC,"Merritt Mathias","North Carolina Courage","Jessica McDonald",64.7,0,79.5,4.4,1
PASS-20190413CHINC-215,20190413CHINC,"Jessica McDonald","North Carolina Courage","Merritt Mathias",79.5,4.4,69,3.7,1
PASS-20190413CHINC-216,20190413CHINC,"Merritt Mathias","North Carolina Courage","Lynn Williams",68,7.6,94.5,29.8,1
PASS-20190413CHINC-217,20190413CHINC,"Alyssa Naeher","Chicago Red Stars","Sam Kerr",15.1,31.3,66.8,53.8,1
PASS-20190413CHINC-218,20190413CHINC,"Sam Kerr","Chicago Red Stars","Abby Erceg",61.3,50.6,77.6,42.6,0
PASS-20190413CHINC-219,20190413CHINC,"Abby Erceg","North Carolina Courage","Abby Dahlkemper",32.4,18.4,25.3,14.9,1
PASS-20190413CHINC-22,20190413CHINC,"Merritt Mathias","North Carolina Courage","Crystal Dunn",58.3,3.9,64.4,8,1
PASS-20190413CHINC-220,20190413CHINC,"Abby Dahlkemper","North Carolina Courage","Sam Mewis",28.3,19.8,25.2,31.8,1
PASS-20190413CHINC-221,20190413CHINC,"Sam Mewis","North Carolina Courage","Jaelene Hinkle",27,35.4,31.4,56.8,1
PASS-20190413CHINC-222,20190413CHINC,"Jaelene Hinkle","North Carolina Courage","Lynn Williams",55,55.2,71.3,43.3,1
PASS-20190413CHINC-223,20190413CHINC,"Danielle Colaprico","Chicago Red Stars","Katie Naughton",32.9,30.9,68.5,16,1
PASS-20190413CHINC-224,20190413CHINC,"Katie Naughton","Chicago Red Stars","Abby Erceg",27.3,21.2,68.5,16,0
PASS-20190413CHINC-225,20190413CHINC,"Abby Erceg","North Carolina Courage","Stephanie Labbe",30.8,47.2,20.2,45.4,1
PASS-20190413CHINC-226,20190413CHINC,"Stephanie Labbe","North Carolina Courage","Abby Erceg",22.4,37.9,29.4,48.5,1
PASS-20190413CHINC-227,20190413CHINC,"Abby Erceg","North Carolina Courage","Sam Mewis",32.6,48.5,46.1,54.4,1
PASS-20190413CHINC-228,20190413CHINC,"Sam Mewis","North Carolina Courage","Lynn Williams",55,55.8,69.3,38.6,1
PASS-20190413CHINC-229,20190413CHINC,"Lynn Williams","North Carolina Courage","Merritt Mathias",64.1,39.8,55.3,8.1,1
PASS-20190413CHINC-23,20190413CHINC,"Yuki Nagasato","Chicago Red Stars","Danielle Colaprico",46.1,58.2,40.7,20.5,1
PASS-20190413CHINC-230,20190413CHINC,"Merritt Mathias","North Carolina Courage","Denise O'Sullivan",57.5,9,77.3,20.4,1
PASS-20190413CHINC-231,20190413CHINC,"Denise O'Sullivan","North Carolina Courage","Jessica McDonald",79.1,16.2,92.7,4.2,1
PASS-20190413CHINC-232,20190413CHINC,"Jaelene Hinkle","North Carolina Courage","Arin Wright",94.5,7.2,100.5,30.3,0
PASS-20190413CHINC-233,20190413CHINC,"Danielle Colaprico","Chicago Red Stars","Yuki Nagasato",17.7,38.5,31.1,39.3,1
PASS-20190413CHINC-234,20190413CHINC,"Abby Dahlkemper","North Carolina Courage","Crystal Dunn",63.4,27.1,71,53,1
PASS-20190413CHINC-235,20190413CHINC,"Crystal Dunn","North Carolina Courage","Tierna Davidson",82.8,49.9,91.1,32.9,0
PASS-20190413CHINC-236,20190413CHINC,"Danielle Colaprico","Chicago Red Stars","Lynn Williams",23.8,27.8,29.5,23.3,0
PASS-20190413CHINC-237,20190413CHINC,"Lynn Williams","North Carolina Courage","Sam Mewis",70.7,37.8,65.1,32.2,1
PASS-20190413CHINC-238,20190413CHINC,"Sam Mewis","North Carolina Courage","McCall Zerboni",67.6,35.3,72.1,43.6,1
PASS-20190413CHINC-239,20190413CHINC,"McCall Zerboni","North Carolina Courage","Abby Erceg",66.3,45.4,38.8,58.4,1
PASS-20190413CHINC-24,20190413CHINC,"Danielle Colaprico","Chicago Red Stars","Jaelene Hinkle",43.7,42.8,40.7,20.5,0
PASS-20190413CHINC-240,20190413CHINC,"Abby Erceg","North Carolina Courage","Sarah Gorden",50.1,56.5,79.4,56.6,0
PASS-20190413CHINC-241,20190413CHINC,"Sarah Gorden","Chicago Red Stars","Julie Ertz",25.6,11.4,35.8,15.6,1
PASS-20190413CHINC-242,20190413CHINC,"Julie Ertz","Chicago Red Stars","Arin Wright",41,30.5,38.8,52.3,1
PASS-20190413CHINC-243,20190413CHINC,"Arin Wright","Chicago Red Stars",NULL,47.8,53.8,79.9,41.7,0
PASS-20190413CHINC-244,20190413CHINC,"Stephanie Labbe","North Carolina Courage","Abby Dahlkemper",25.1,26.3,28,18.3,1
PASS-20190413CHINC-245,20190413CHINC,"Abby Dahlkemper","North Carolina Courage","McCall Zerboni",32,20.7,40.7,27.7,1
PASS-20190413CHINC-246,20190413CHINC,"McCall Zerboni","North Carolina Courage","Crystal Dunn",54.2,21.5,58.8,11.2,1
PASS-20190413CHINC-247,20190413CHINC,"Crystal Dunn","North Carolina Courage","Merritt Mathias",58.8,11.2,43.3,10.7,1
PASS-20190413CHINC-248,20190413CHINC,"Merritt Mathias","North Carolina Courage","McCall Zerboni",45.2,10.8,58.1,14.2,1
PASS-20190413CHINC-249,20190413CHINC,"McCall Zerboni","North Carolina Courage","Jessica McDonald",60.1,9.6,66.7,7.9,1
PASS-20190413CHINC-25,20190413CHINC,"Lynn Williams","North Carolina Courage","McCall Zerboni",63.3,59.6,55.7,50.7,1
PASS-20190413CHINC-250,20190413CHINC,"Merritt Mathias","North Carolina Courage","Abby Erceg",69.8,9.1,92.5,38.9,1
PASS-20190413CHINC-251,20190413CHINC,"Stephanie Labbe","North Carolina Courage","Abby Dahlkemper",14,38.8,18.2,35.5,1
PASS-20190413CHINC-252,20190413CHINC,"Abby Dahlkemper","North Carolina Courage","Abby Erceg",24,28.8,24.2,50.3,1
PASS-20190413CHINC-253,20190413CHINC,"Abby Erceg","North Carolina Courage","Jaelene Hinkle",26.4,50.2,35.3,59.6,1
PASS-20190413CHINC-254,20190413CHINC,"Jaelene Hinkle","North Carolina Courage","Abby Erceg",33.5,55.5,22.8,49.6,1
PASS-20190413CHINC-255,20190413CHINC,"Yuki Nagasato","Chicago Red Stars","Sam Kerr",47.1,54,95.9,28.4,1
PASS-20190413CHINC-256,20190413CHINC,"Abby Erceg","North Carolina Courage","Abby Dahlkemper",24.4,45.8,26.6,17,1
PASS-20190413CHINC-257,20190413CHINC,"Abby Dahlkemper","North Carolina Courage","Denise O'Sullivan",44.9,18.8,59.3,7.7,1
PASS-20190413CHINC-258,20190413CHINC,"Denise O'Sullivan","North Carolina Courage","Arin Wright",59.5,3.9,72.2,6,0
PASS-20190413CHINC-259,20190413CHINC,"Arin Wright","Chicago Red Stars","Yuki Nagasato",37.5,56.8,46.9,53.5,1
PASS-20190413CHINC-26,20190413CHINC,"McCall Zerboni","North Carolina Courage","Jaelene Hinkle",68.6,59.8,75.5,57.6,1
PASS-20190413CHINC-260,20190413CHINC,"Jaelene Hinkle","North Carolina Courage","Sarah Gorden",56.8,53.5,94.2,60.3,0
PASS-20190413CHINC-261,20190413CHINC,"Julie Ertz","Chicago Red Stars",NULL,2,6.3,7.2,0,0
PASS-20190413CHINC-262,20190413CHINC,"Jessica McDonald","North Carolina Courage","Alyssa Mautz",97.8,68,92.1,55.9,0
PASS-20190413CHINC-263,20190413CHINC,"Alyssa Mautz","Chicago Red Stars","Jaelene Hinkle",12.9,12.1,26.8,11.4,0
PASS-20190413CHINC-264,20190413CHINC,"Jaelene Hinkle","North Carolina Courage","Crystal Dunn",78.2,56.6,94.1,61.8,1
PASS-20190413CHINC-265,20190413CHINC,"Sarah Gorden","Chicago Red Stars","Katie Naughton",9.8,0,12.1,10.4,1
PASS-20190413CHINC-266,20190413CHINC,"Katie Naughton","Chicago Red Stars","Sarah Gorden",12.1,10.4,22.7,7.9,1
PASS-20190413CHINC-267,20190413CHINC,"Sarah Gorden","Chicago Red Stars","Abby Erceg",22.7,7.9,59.3,9,0
PASS-20190413CHINC-268,20190413CHINC,"Alyssa Mautz","Chicago Red Stars","Danielle Colaprico",41.3,0,57.6,10.2,1
PASS-20190413CHINC-269,20190413CHINC,"Danielle Colaprico","Chicago Red Stars","Julie Ertz",58,11.9,96.2,5.9,1
PASS-20190413CHINC-27,20190413CHINC,"Jaelene Hinkle","North Carolina Courage","Lynn Williams",73,53.8,65.6,56.1,1
PASS-20190413CHINC-270,20190413CHINC,"Julie Ertz","Chicago Red Stars","Abby Erceg",58.3,20.4,96.2,5.9,0
PASS-20190413CHINC-271,20190413CHINC,"Abby Erceg","North Carolina Courage","Julie Ertz",5.1,63.2,30.3,56.4,0
PASS-20190413CHINC-272,20190413CHINC,"McCall Zerboni","North Carolina Courage","Julie Ertz",22.6,54.2,26.6,55.3,0
PASS-20190413CHINC-273,20190413CHINC,"Julie Ertz","Chicago Red Stars","Arin Wright",85.2,17.2,75.6,39.4,1
PASS-20190413CHINC-274,20190413CHINC,"Arin Wright","Chicago Red Stars","Tierna Davidson",65.8,57.6,54.9,54.4,1
PASS-20190413CHINC-275,20190413CHINC,"Tierna Davidson","Chicago Red Stars","Arin Wright",60,58.7,66.2,65.2,1
PASS-20190413CHINC-276,20190413CHINC,"Arin Wright","Chicago Red Stars","Tierna Davidson",63.5,63.7,54.9,60.7,1
PASS-20190413CHINC-277,20190413CHINC,"Tierna Davidson","Chicago Red Stars","Nikki Stanton",54.9,60.7,56.3,53.6,1
PASS-20190413CHINC-278,20190413CHINC,"Nikki Stanton","Chicago Red Stars","Katie Naughton",53.4,53.6,38.1,49,1
PASS-20190413CHINC-279,20190413CHINC,"Katie Naughton","Chicago Red Stars","Sarah Gorden",36,43.7,38.7,26.4,1
PASS-20190413CHINC-28,20190413CHINC,"Lynn Williams","North Carolina Courage","Merritt Mathias",61.4,53.1,69.4,5.4,1
PASS-20190413CHINC-280,20190413CHINC,"Sarah Gorden","Chicago Red Stars","Alyssa Mautz",47.2,24.6,56.2,12.5,1
PASS-20190413CHINC-281,20190413CHINC,"Alyssa Mautz","Chicago Red Stars","Sam Kerr",63.8,10,74.3,21.2,1
PASS-20190413CHINC-282,20190413CHINC,"Sam Kerr","Chicago Red Stars","Sam Mewis",74.3,21.2,68.5,25.7,0
