ID,raw_event_ID,game_ID,half,start_time,end_time,player_ID,team_ID,start_pos_x,start_pos_y,receiver,end_pos_x,end_pos_y,successful,cross
PASS-20180414NCWAS-841,RAW-20180414NCWAS-4076,20180414NCWAS,2,86:32,86:52,Caprice Dydasco,WAS,43.0,49.1,Abby Dahlkemper,69.3,51.9,0,0
PASS-20180414NCWAS-842,RAW-20180414NCWAS-4080,20180414NCWAS,2,86:35,86:55,Abby Dahlkemper,NC,35.7,16.1,Caprice Dydasco,57.9,0.0,0,0
PASS-20180414NCWAS-843,RAW-20180414NCWAS-4083,20180414NCWAS,2,86:43,87:03,Caprice Dydasco,WAS,47.1,68.0,Havana Solaun,65.2,64.7,1,0
PASS-20180414NCWAS-844,RAW-20180414NCWAS-4092,20180414NCWAS,2,86:50,87:10,Lynn Williams,NC,43.5,19.9,Abby Dahlkemper,34.4,20.7,1,0
PASS-20180414NCWAS-845,RAW-20180414NCWAS-4094,20180414NCWAS,2,86:52,87:12,Abby Dahlkemper,NC,34.4,20.7,McCall RaNae Zerboni,44.9,15.5,1,0
PASS-20180414NCWAS-846,RAW-20180414NCWAS-4096,20180414NCWAS,2,86:55,87:15,McCall RaNae Zerboni,NC,46.9,15.4,Lynn Williams,61.2,2.2,1,0
PASS-20180414NCWAS-847,RAW-20180414NCWAS-4106,20180414NCWAS,2,87:21,87:41,Lynn Williams,NC,85.4,0.0,Tori Huster,96.8,2.8,0,0
PASS-20180414NCWAS-848,RAW-20180414NCWAS-4113,20180414NCWAS,2,87:27,87:47,Darian Michelle Jenkins,NC,95.9,2.9,Havana Solaun,93.6,3.2,0,0
PASS-20180414NCWAS-849,RAW-20180414NCWAS-4118,20180414NCWAS,2,87:38,87:58,Caprice Dydasco,WAS,18.5,68.0,Tori Huster,24.0,63.3,1,0
PASS-20180414NCWAS-850,RAW-20180414NCWAS-4119,20180414NCWAS,2,87:40,88:00,Tori Huster,WAS,24.0,63.3,Caprice Dydasco,20.7,67.3,1,0
PASS-20180414NCWAS-851,RAW-20180414NCWAS-4120,20180414NCWAS,2,87:41,88:01,Caprice Dydasco,WAS,20.7,67.3,McCall RaNae Zerboni,33.2,62.1,0,0
PASS-20180414NCWAS-852,RAW-20180414NCWAS-4123,20180414NCWAS,2,87:49,88:09,Havana Solaun,WAS,39.8,68.0,McCall RaNae Zerboni,47.6,63.8,0,0
PASS-20180414NCWAS-853,RAW-20180414NCWAS-4126,20180414NCWAS,2,87:55,88:15,Caprice Dydasco,WAS,43.8,68.0,Tori Huster,43.8,63.3,1,0
PASS-20180414NCWAS-854,RAW-20180414NCWAS-4127,20180414NCWAS,2,87:56,88:16,Tori Huster,WAS,43.8,63.3,Caprice Dydasco,43.6,66.8,1,0
PASS-20180414NCWAS-855,RAW-20180414NCWAS-4128,20180414NCWAS,2,87:56,88:16,Caprice Dydasco,WAS,43.6,66.8,Abby Dahlkemper,61.7,54.2,0,0
PASS-20180414NCWAS-856,RAW-20180414NCWAS-4131,20180414NCWAS,2,87:59,88:19,Abby Dahlkemper,NC,43.3,13.8,Meredith Speck,44.8,17.8,1,0
PASS-20180414NCWAS-857,RAW-20180414NCWAS-4134,20180414NCWAS,2,88:00,88:20,Meredith Speck,NC,44.8,17.8,Allysha Lyn Chapman,40.0,4.6,1,0
PASS-20180414NCWAS-858,RAW-20180414NCWAS-4136,20180414NCWAS,2,88:02,88:22,Allysha Lyn Chapman,NC,40.1,6.5,Caprice Dydasco,65.3,11.5,0,0
PASS-20180414NCWAS-859,RAW-20180414NCWAS-4141,20180414NCWAS,2,88:04,88:24,Caprice Dydasco,WAS,39.7,56.5,McCall RaNae Zerboni,59.8,56.2,0,0
PASS-20180414NCWAS-860,RAW-20180414NCWAS-4158,20180414NCWAS,2,88:12,88:32,McCall RaNae Zerboni,NC,43.9,3.0,Darian Michelle Jenkins,102.6,2.0,1,0
PASS-20180414NCWAS-861,RAW-20180414NCWAS-4167,20180414NCWAS,2,88:26,88:46,Estelle Laura Johnson,WAS,14.7,64.0,Tori Huster,26.1,62.0,1,0
PASS-20180414NCWAS-862,RAW-20180414NCWAS-4168,20180414NCWAS,2,88:27,88:47,Tori Huster,WAS,26.1,62.0,Havana Solaun,29.8,63.2,1,0
PASS-20180414NCWAS-863,RAW-20180414NCWAS-4169,20180414NCWAS,2,88:29,88:49,Havana Solaun,WAS,29.8,63.2,Tori Huster,27.6,64.8,1,0
PASS-20180414NCWAS-864,RAW-20180414NCWAS-4170,20180414NCWAS,2,88:30,88:50,Tori Huster,WAS,27.6,64.8,Havana Solaun,28.8,56.6,1,0
PASS-20180414NCWAS-865,RAW-20180414NCWAS-4171,20180414NCWAS,2,88:33,88:53,Havana Solaun,WAS,28.8,56.6,Crystal Alyssia Dunn,27.6,43.9,0,0
PASS-20180414NCWAS-866,RAW-20180414NCWAS-4179,20180414NCWAS,2,88:38,88:58,Estelle Laura Johnson,WAS,16.4,47.3,Ashley Hatch,39.1,11.2,1,0
PASS-20180414NCWAS-867,RAW-20180414NCWAS-4180,20180414NCWAS,2,88:43,89:03,Ashley Hatch,WAS,39.1,11.2,Meggie Dougherty Howard,25.8,7.3,1,0
PASS-20180414NCWAS-868,RAW-20180414NCWAS-4181,20180414NCWAS,2,88:44,89:04,Meggie Dougherty Howard,WAS,25.8,7.3,Taylor Nicole Smith,38.6,28.7,1,0
PASS-20180414NCWAS-869,RAW-20180414NCWAS-4184,20180414NCWAS,2,88:46,89:06,Taylor Nicole Smith,WAS,32.3,14.8,Denise O'Sullivan,38.6,28.7,0,0
PASS-20180414NCWAS-870,RAW-20180414NCWAS-4188,20180414NCWAS,2,88:48,89:08,Denise O'Sullivan,NC,60.7,40.4,Abby Dahlkemper,49.3,39.8,1,0
PASS-20180414NCWAS-871,RAW-20180414NCWAS-4190,20180414NCWAS,2,88:51,89:11,Abby Dahlkemper,NC,50.0,33.9,Lynn Williams,75.9,1.4,1,0
PASS-20180414NCWAS-872,RAW-20180414NCWAS-4199,20180414NCWAS,2,89:07,89:27,Caprice Dydasco,WAS,3.8,68.0,Darian Michelle Jenkins,15.9,66.1,0,0
PASS-20180414NCWAS-873,RAW-20180414NCWAS-4202,20180414NCWAS,2,89:14,89:34,Caprice Dydasco,WAS,9.9,68.0,Estelle Laura Johnson,6.1,55.3,1,0
PASS-20180414NCWAS-874,RAW-20180414NCWAS-4203,20180414NCWAS,2,89:17,89:37,Estelle Laura Johnson,WAS,6.1,55.3,McCall RaNae Zerboni,42.6,63.0,0,0
PASS-20180414NCWAS-875,RAW-20180414NCWAS-4208,20180414NCWAS,2,89:22,89:42,McCall RaNae Zerboni,NC,64.4,4.0,Darian Michelle Jenkins,74.7,3.3,1,0
PASS-20180414NCWAS-876,RAW-20180414NCWAS-4221,20180414NCWAS,2,89:35,89:55,Havana Solaun,WAS,6.2,68.0,Tori Huster,25.4,65.3,1,0
PASS-20180414NCWAS-877,RAW-20180414NCWAS-4222,20180414NCWAS,2,89:37,89:57,Tori Huster,WAS,25.4,65.3,Allysha Lyn Chapman,29.9,68.0,0,0
PASS-20180414NCWAS-878,RAW-20180414NCWAS-4224,20180414NCWAS,2,89:48,90:08,Allysha Lyn Chapman,NC,75.1,0.0,Lynn Williams,96.7,4.3,1,0
PASS-20180414NCWAS-879,RAW-20180414NCWAS-4232,20180414NCWAS,2,90:11,90:31,Aubrey Renee Bledsoe,WAS,5.2,42.6,Andi Maureen Sullivan,42.4,52.9,1,0
PASS-20180414NCWAS-880,RAW-20180414NCWAS-4235,20180414NCWAS,2,90:14,90:34,Andi Maureen Sullivan,WAS,42.4,52.9,Tori Huster,46.8,54.8,1,0
PASS-20180414NCWAS-881,RAW-20180414NCWAS-4242,20180414NCWAS,2,90:16,90:36,Tori Huster,WAS,46.8,54.8,Caprice Dydasco,39.1,57.8,1,0
PASS-20180414NCWAS-882,RAW-20180414NCWAS-4244,20180414NCWAS,2,90:17,90:37,Caprice Dydasco,WAS,39.1,57.8,Francisca Ordega,62.2,48.5,1,0
PASS-20180414NCWAS-883,RAW-20180414NCWAS-4255,20180414NCWAS,2,90:25,90:45,Denise O'Sullivan,NC,47.9,37.2,Crystal Alyssia Dunn,47.4,46.8,1,0
PASS-20180414NCWAS-884,RAW-20180414NCWAS-4257,20180414NCWAS,2,90:27,90:47,Crystal Alyssia Dunn,NC,45.8,46.2,McCall RaNae Zerboni,43.8,41.6,1,0
PASS-20180414NCWAS-885,RAW-20180414NCWAS-4260,20180414NCWAS,2,90:28,90:48,McCall RaNae Zerboni,NC,43.8,41.6,Jaelene Mckenzie Daniels,59.0,64.5,1,0
PASS-20180414NCWAS-886,RAW-20180414NCWAS-4262,20180414NCWAS,2,90:33,90:53,Jaelene Mckenzie Daniels,NC,53.0,66.5,Crystal Alyssia Dunn,52.2,60.3,1,0
PASS-20180414NCWAS-887,RAW-20180414NCWAS-4266,20180414NCWAS,2,90:36,90:56,Crystal Alyssia Dunn,NC,48.5,62.3,Abby May Erceg,36.7,60.8,1,0
PASS-20180414NCWAS-888,RAW-20180414NCWAS-4268,20180414NCWAS,2,90:38,90:58,Abby May Erceg,NC,35.3,59.8,Sabrina Victoria D'Angelo,18.5,40.0,1,0
PASS-20180414NCWAS-889,RAW-20180414NCWAS-4271,20180414NCWAS,2,90:45,91:05,Sabrina Victoria D'Angelo,NC,22.1,41.4,Caprice Dydasco,75.6,0.0,0,0
PASS-20180414NCWAS-890,RAW-20180414NCWAS-4273,20180414NCWAS,2,90:55,91:15,Caprice Dydasco,WAS,29.4,68.0,Tori Huster,30.9,62.9,1,0
PASS-20180414NCWAS-891,RAW-20180414NCWAS-4274,20180414NCWAS,2,90:56,91:16,Tori Huster,WAS,30.9,62.9,Caprice Dydasco,30.9,66.0,1,0
PASS-20180414NCWAS-892,RAW-20180414NCWAS-4275,20180414NCWAS,2,90:58,91:18,Caprice Dydasco,WAS,30.9,66.0,Havana Solaun,38.7,65.8,1,0
PASS-20180414NCWAS-893,RAW-20180414NCWAS-4279,20180414NCWAS,2,91:20,91:40,Tori Huster,WAS,39.8,65.4,Francisca Ordega,73.4,40.3,1,0
PASS-20180414NCWAS-894,RAW-20180414NCWAS-4282,20180414NCWAS,2,91:23,91:43,Abby Dahlkemper,NC,31.6,27.7,Meredith Speck,34.7,34.9,1,0
PASS-20180414NCWAS-895,RAW-20180414NCWAS-4288,20180414NCWAS,2,91:24,91:44,Meredith Speck,NC,34.7,34.9,Taylor Nicole Smith,35.3,37.5,0,0
PASS-20180414NCWAS-896,RAW-20180414NCWAS-4290,20180414NCWAS,2,91:24,91:44,Taylor Nicole Smith,WAS,69.7,30.5,Ashley Hatch,75.3,29.1,1,0
PASS-20180414NCWAS-897,RAW-20180414NCWAS-4296,20180414NCWAS,2,91:29,91:49,Ashley Hatch,WAS,72.9,31.4,Havana Solaun,72.8,47.5,1,0
PASS-20180414NCWAS-898,RAW-20180414NCWAS-4299,20180414NCWAS,2,91:30,91:50,Havana Solaun,WAS,72.8,47.5,Abby Dahlkemper,82.2,42.1,0,0
PASS-20180414NCWAS-899,RAW-20180414NCWAS-4301,20180414NCWAS,2,91:31,91:51,Abby Dahlkemper,NC,22.8,25.9,Caprice Dydasco,48.3,7.7,0,0
PASS-20180414NCWAS-900,RAW-20180414NCWAS-4304,20180414NCWAS,2,91:33,91:53,Caprice Dydasco,WAS,56.7,60.3,Andi Maureen Sullivan,59.5,41.4,1,0
PASS-20180414NCWAS-901,RAW-20180414NCWAS-4310,20180414NCWAS,2,91:35,91:55,Andi Maureen Sullivan,WAS,59.5,41.4,Tori Huster,59.4,48.4,1,0
